query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CC(=O)NN1C(=O)NC2(CCC(C)CC2)C1=O,ENAMINE-REAL : Z27228699,consensus,0.4117647058823529,enamine-real
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CCCCCCC[C@@]1(C)NC(=O)N(NC(C)=O)C1=O,ZINC15 : ZINC000136009263,consensus,0.39622641509433965,zinc15
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CCCCCCC[C@]1(C)NC(=O)N(NC(C)=O)C1=O,ZINC15 : ZINC000136009274,consensus,0.39622641509433965,zinc15
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CC(=O)N[C@@H]1C(=O)O[C@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000101178340,consensus,0.38,zinc15
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CC(=O)N[C@@H]1C(=O)O[C@@H](CO)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000006761412,consensus,0.38,zinc15
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CC(=O)N[C@H]1C(=O)O[C@H](CO)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000005438581,consensus,0.38,zinc15
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CC(=O)N[C@@H]1C(=O)O[C@H](CO)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000004096202,consensus,0.38,zinc15
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CC(=O)N[C@@H]1C(=O)O[C@@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000006761404,consensus,0.38,zinc15
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CC(=O)N[C@@H]1[C@H](N)O[C@H](CO)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000064219138,consensus,0.35294117647058826,zinc15
CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,MAHIOGAAEAWGLR-UTAYWCBXSA-N,CC(=O)N[C@@H]1[C@H](N)O[C@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000101107662,consensus,0.35294117647058826,zinc15
