query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c21)[C@H](CC(=O)[O-])CC3,ZINC15 : ZINC000027646610,consensus,0.85,zinc15
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c21)[C@@H](CC(=O)[O-])CC3,ZINC15 : ZINC000003961849,consensus,0.85,zinc15
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,COC(=O)C[C@H]1CCc2c3cc(F)cc(S(C)(=O)=O)c3n(Cc3ccc(Cl)cc3)c21,ZINC15 : ZINC000043808023,consensus,0.8225806451612904,zinc15
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c21)/C(=C/C(=O)[O-])CC3,ZINC15 : ZINC000034826099,consensus,0.5797101449275363,zinc15
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,CS(=O)(=O)c1ccc(Cn2c3c(cc(F)cc3F)c3c2[C@@H](CC(=O)[O-])CCC3)cc1,ZINC15 : ZINC000000596981,consensus,0.5633802816901409,zinc15
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,CS(=O)(=O)c1ccc(Cn2c3c(cc(F)cc3F)c3c2[C@H](CC(=O)[O-])CCC3)cc1,ZINC15 : ZINC000003787135,consensus,0.5633802816901409,zinc15
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,COC1=CC=C(CN2CCC3=CC(F)=CC(C(=O)O)=C3C2)C=C1S(C)(=O)=O,ENAMINE-REAL : Z4610838961,consensus,0.32926829268292684,enamine-real
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,CN(CC1=CC=C(Cl)C=C1)S(=O)(=O)N1CC2=CC=CC=C2C(CC(=O)O)C1,ENAMINE-REAL : PV-008893302813,consensus,0.3291139240506329,enamine-real
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,COC1=CC(CN2CC3=CC(Cl)=CC=C3C[C@@H]2C(=O)O)=CC=C1S(C)(=O)=O,ENAMINE-REAL : PV-007775402350,consensus,0.3170731707317073,enamine-real
CS(=O)(=O)C1=C2N(CC3=CC=C(Cl)C=C3)C3=C(CC[C@@H]3CC(O)=O)C2=CC(F)=C1,NXFFJDQHYLNEJK-CYBMUJFWSA-N,COC1=CC(CN2CC3=CC(Cl)=CC=C3C[C@H]2C(=O)O)=CC=C1S(C)(=O)=O,ENAMINE-REAL : PV-007775402349,consensus,0.3170731707317073,enamine-real
